ticker,symbolFA,nameFA,industryIndex,market
IRO7NARP0001,تکنار,مجتمع معادن مس تکنار,IREXMETALLICORES,37
IRO7NEOP0001,چنوپا,نیوپان‌ 22 بهمن‌,IREXWOOD,37
IRO7NZMP0001,ثنظام,س. ساختمانی نظام مهندسی ایران,IREXCONSTRUCTION,37
IRO7NIRP0001,نیرو,نیرو سرمایه,IREXELECTRICALMACHINERY,37
IRO7NORP0001,ثنور,سرمایه گذاری کوه نور,IREXCONSTRUCTION,37
IRO7PAIP0001,آریان,سرمایه گذاری پارس آریان,IREXINVESTMENTS,37
IRO7PDRP0001,داراب,پتروشیمی داراب,IREXCHEMICALSDIVERSIFIED,37
IRO7PDHP0001,دهدشت,صنایع پتروشیمی دهدشت,IREXCHEMICALSDIVERSIFIED,37
IRO7PFSP0001,فسا,پتروشیمی فسا,IREXCHEMICALSDIVERSIFIED,37
IRO7PJHP0001,جهرم,پتروشیمی جهرم,IREXCHEMICALSDIVERSIFIED,37
IRO7PKBP0001,شکبیر,پتروشیمی امیرکبیر,IREXCHEMICALSDIVERSIFIED,37
IRO7PKZP0001,کازرو,پتروشیمی کازرون,IREXCHEMICALSDIVERSIFIED,37
IRO7PLSP0001,پلاست,کارخانجات تولیدی پلاستیران,IREXRUBBERPLASTICS,37
IRO7PMMP0001,ممسنی,پتروشیمی ممسنی,IREXCHEMICALSDIVERSIFIED,37
IRO7PSMP0001,معیار,سرمایه گذاری معیار صنعت پارس,IREXINVESTMENTS,37
IRO7PRMP0001,سپرمی,پرمیت‌,IREXOTHERNONMETALLICPRODUCTS,37
IRO7PYAP0001,لپیام,گسترش صنایع پیام,IREXCOMMUNICATIONEQUIPMENT,37
IRO7QAZP0001,ثقزوی,شرکت عمران و سازندگی قزوین,IREXCONSTRUCTION,37
IRO7RAHP0001,حرهشا,رهشاد سپاهان (سهامی عام,IREXTRUCKING,37
IRO7RAZP0001,ولراز,لیزینگ رازی,IREXLEASING,37
IRO7RNAP0001,غناب,روغن‌ نباتی‌ ناب,IREXFARMPRODUCTS,37
IRO7RZIP0001,ورازی,بیمه رازی,IREXINSURANCEDIVERSIFIED,37
IRO7SALP0001,وسالت,بانک قرض الحسنه رسالت,IREXBANKSCREDITINSTITUTIONS,37
IRO7SASP0001,سجام,مجتمع سیمان غرب آسیا,IREXCEMENT,37
IRO7SDRP0001,خصدرا,صنعتی‌ دریایی‌ ایران‌,IREXINDUSTRIALCONTRACTING,37
IRO7SEKP0001,سخواف,سیمان مجد خواف,IREXCEMENT,37
IRO7SESP0001,ثاصفا,شرکت‌ ساختمان‌ اصفهان‌,IREXCONSTRUCTION,37
IRO7SFSP0001,سفاسی,شرکت فارسیت اهواز,IREXOTHERNONMETALLICPRODUCTS,37
IRO7SHIP0001,پشاهن,تولیدی پلاستیک‌ شاهین,IREXRUBBERPLASTICS,37
IRO7SHOP0001,وشمال,س. چشم انداز توسعه شمال,IREXINVESTMENTS,37
IRO7SHQP0001,کقزوی,شیشه‌ قزوین‌,IREXOTHERNONMETALLICPRODUCTS,37
IRO7SJVP0001,ثجوان,تامین مسکن جوانان,IREXCONSTRUCTION,37
IRO7SNOP0001,وثنو,سرمایه گذاری ساختمانی نوین,IREXINVESTMENTS,37
IRO7SOLP0001,فسلیر,سولیران‌,IREXMETALLICPRODUCTS,37
IRO7SRMP0001,وسرمد,بیمه سرمد,IREXINSURANCEDIVERSIFIED,37
IRO7SPRP0001,غشوکو,شوکو پارس,IREXCONFECTIONERS,37
IRO7STNP0001,شستان,پتروشیمی گلستان,IREXCHEMICALSDIVERSIFIED,37
IRO7THDP0001,دتهران‌,داروسازی‌ تهران‌ دارو,IREXPHARMACEUTICALS,37
IRO7TJMP0001,شجم,صنایع پتروشیمی تخت جمشید,IREXCHEMICALSDIVERSIFIED,37
IRO7TKDP0001,وکادو,تکادو,IREXINVESTMENTS,37
IRO7TSAP0001,شسم,تولید سموم‌ علف‌ کش,IREXCHEMICALSDIVERSIFIED,37
IRO7TRKP0001,گکیش,توریستی ورفاهی آبادگران کیش,IREXHOTELSRESTAURANTS,37
IRO7TSEP0001,توسعه,اعتباری توسعه,IREXBANKSCREDITINSTITUTIONS,37
IRO7TVNP0001,وتعاون,بیمه تعاون,IREXINSURANCEDIVERSIFIED,37
IRO7VARP0001,کورز,ورزیران‌,IREXOTHERNONMETALLICPRODUCTS,37
IRO7VAVP0001,وآوین,سرمایه گذاری آوین,IREXINVESTMENTS,37
IRO7VHSP0001,واحصا,احیاء صنایع خراسان,IREXINVESTMENTS,37
IRO7VHYP0001,واحیا,م .صنایع و معادن احیاء سپاهان,IREXINVESTMENTS,37
IRO7VLNP0001,ولانا,شرکت لیزینگ آریا دانا,IREXLEASING,37
IRO7VOSP0001,وثوق,سرمایه گذاری وثوق امین,IREXINVESTMENTS,37
IRO7ZNGP0001,شزنگ,تجهیزنیروی‌زنگان‌,IREXPETROLEUMPRODUCTS,37
IRO7ZNJP0001,زنجان,صنایع کشاورزی وکود زنجان,IREXCHEMICALSDIVERSIFIED,37
IRO7SNAP0001,وسنا,سرمایه گذاری نیروگاهی ایران,IREXINVESTMENTS,37
IRO7ARSP0001,وارس,سرمایه گذاری ارس صبا,IREXINVESTMENTS,37
IRO7DIOP0001,بدکو,شرکت فروشگاه زنجیره ای دیاکو,IREXAUTOWHOLESALERRETAILER,37
IRO7ATSP0001,وآتوس,س.آرین توسکا قیمت اسمی 350ریال,IREXINVESTMENTS,37
IRO7FBSP0001,فبستم,صنایع ‌بسته‌بندی‌ مشهد,IREXMETALLICPRODUCTS,37
IRO7HFZP0001,وحافظ,بیمه حافظ,IREXINSURANCEDIVERSIFIED,37
IRO7CKHP0001,وثخوز,سرمایه گذاری و توسعه خوزستان,IREXCONSTRUCTION,37
IRO7KPAP0001,نشار,کارخانجات پشمبافی افشار یزد,IREXTEXTILE,37
IRO7SFAP0001,سفارود,کارخانه فارسیت درود,IREXOTHERNONMETALLICPRODUCTS,37
IRO7FROP0001,تفیرو,مهندسی فیروزا,IREXMACHINERY,37
IRO7REFP0001,رفاه,فروشگاه های زنجیره ای رفاه,IREXGROCERYSTORES,37
IRO7PTOP0001,نتوس,پشم‌ بافی‌ توس,IREXTEXTILE,37
IRO7SHEP0001,شرنگی,شیمیایی رنگین,IREXCHEMICALSDIVERSIFIED,37
IRO7TOPP0001,شتولی,تولی‌پرس‌,IREXCLEANINGPRODUCT,37
IRO7SDIP0001,وسدید,گروه ‌صنعتی‌سدید,IREXINVESTMENTS,37
IRO7CZGP0001,ثزاگرس,سرمایه گذاری توسعه عمران زاگرس,IREXCONSTRUCTION,37
IRO7LIBP0001,خلیبل,مالیبل سایپا,IREXAUTOPARTS,37
IRO7VSNP0001,وسین,بیمه سینا,IREXINSURANCEDIVERSIFIED,37
IRO7FAFP0001,فافزا,فولاد افزا سپاهان,IREXSTEELIRON,37
IRO7CKRP0001,سخرم,شرکت سیمان خرم آباد,IREXCEMENT,37
IRO7KHDP0001,خودکفا,اقتصادی و خودکفایی آزادگان,IREXCONFECTIONERS,37
IRO7KFRP0001,کفرآور,فرآورده های سیمان شرق,IREXOTHERNONMETALLICPRODUCTS,37
IRO7KAFP0001,شکف,کف,IREXCLEANINGPRODUCT,37
IRO7TABP0001,تابا,تابان نیرو سپاهان,IREXENGINEERING,37
IRO7FVAP0001,فوکا,فولاد کاویان,IREXSTEELIRON,37
IRO7PESP0001,شصفها,پتروشیمی‌ اصفهان‌,IREXCHEMICALSDIVERSIFIED,37
IRO7VMHP0001,ومهر,بانک مهر اقتصاد,IREXBANKSCREDITINSTITUTIONS,37
IRO7KHEP0001,خفولا,خدمات فنی فولاد یزد,IREXENGINEERING,37
IRO7TPOP0001,تپولا,مهندسی مرآت پولاد,IREXENGINEERING,37
IRO7GHUP0001,قاروم,قند ارومیه,IREXSUGAR,37
IRO7PBRP0001,گپارس,امور رفاهی کارگزاران پارس,IREXHOTELSRESTAURANTS,37
IRO7ENRP0001,ونور,اعتباری نور,IREXBANKSCREDITINSTITUTIONS,37
IRO7VIRP0001,وایرا,سرمایه گذاری صنایع ایران,IREXINVESTMENTS,37
IRO7IKVP0001,کورزی,سرمایه گذاری کشاورزی ایران,IREXFARMPRODUCTS,37
IRO7CTSP0001,ثتوسا,س.توسعه و عمران استان اردبیل,IREXCONSTRUCTION,37
IRO7FAHP0001,فاهواز,نورد و لوله اهواز,IREXSTEELIRON,37
